Unique_ID,holeid,from,to,As,Au,Pb,Fe,Mo,Cu,S,Zn,Class,Pb_category,x_pos,predicted_pbcutoff,score,predicted_class,predicted_weights,depth_mid,Pb_avg3,Mo_avg3,Au_avg3,As_avg3,Fe_avg3,Cu_avg3,S_avg3,Zn_avg3,predicted_xgboost
A04067,SOLVE008,231,241.0,18.13037279967789,0.101,20.8,48100.0,14.6,10.8,30240.0,85.8,B,<100,3,B,13.771682539682539,B,B,236.0,17.76666666666667,52.800000000000004,0.060666666666666674,18.086945135703676,61273.333333333336,16.400000000000002,60310.0,79.13333333333333,B
A07359,SOLVE008,241,251.0,18.13037279967789,0.013,14.9,16380.0,7.8,2.2,8950.0,53.8,B,<100,3,B,9.090603174603174,B,B,246.0,13.466666666666667,8.466666666666667,0.042,18.086945135703676,26983.333333333332,5.400000000000001,16556.666666666668,63.46666666666667,B
A07459,SOLVE008,251,261.0,18.13037279967789,0.012,4.7,16470.0,3.0,3.2,10480.0,50.8,B,<100,3,B,3.0236825396825395,B,B,256.0,8.733333333333333,4.266666666666667,0.015333333333333332,18.086945135703676,19676.666666666668,3.4,14920.0,45.400000000000006,B
A06759,SOLVE008,261,271.0,18.13037279967789,0.021,6.6,26180.0,2.0,4.8,25330.0,31.6,B,<100,3,B,3.614857142857142,B,B,266.0,11.433333333333332,2.8666666666666667,0.018333333333333333,18.086945135703676,20563.333333333332,4.3999999999999995,16190.0,57.73333333333333,B
A06701,SOLVE008,271,281.0,18.13037279967789,0.022,23.0,19040.0,3.6,5.2,12760.0,90.8,B,<100,3,B,11.621460317460317,B,B,276.0,14.866666666666665,4.3999999999999995,0.026,18.086945135703676,25713.333333333332,5.2,21460.0,94.66666666666667,B
A05958,SOLVE008,281,291.0,18.13037279967789,0.035,15.0,31920.0,7.6,5.6,26290.0,161.6,B,<100,3,B,9.085079365079366,B,B,286.0,17.133333333333333,8.333333333333334,0.02766666666666667,18.086945135703676,19356.666666666668,12.666666666666666,14413.333333333334,108.73333333333333,B
A06457,SOLVE008,291,301.0,18.13037279967789,0.026,13.4,7110.0,13.8,27.2,4190.0,73.8,B,<100,3,B,10.117714285714284,B,B,296.0,12.666666666666666,8.4,0.034333333333333334,18.086945135703676,14796.666666666666,31.73333333333333,11313.333333333334,119.73333333333333,A
A05652,SOLVE008,301,311.0,18.13037279967789,0.042,9.6,5360.0,3.8,62.4,3460.0,123.8,B,<100,3,B,5.515428571428571,B,B,306.0,15.733333333333333,10.200000000000001,0.03233333333333333,18.086945135703676,7660.0,39.333333333333336,5714.0,83.53333333333333,B
A06280,SOLVE008,311,321.0,18.13037279967789,0.029,24.2,10510.0,13.0,28.4,9492.0,53.0,B,<100,3,B,14.86133333333333,B,B,316.0,14.399999999999999,7.266666666666667,0.028333333333333335,18.086945135703676,12013.333333333334,33.6,10010.666666666666,73.60000000000001,A
A07276,SOLVE008,321,331.0,18.13037279967789,0.014,9.4,20170.0,5.0,10.0,17080.0,44.0,B,<100,3,B,5.759111111111111,B,B,326.0,15.533333333333331,13.333333333333334,0.025333333333333333,18.086945135703676,12776.666666666666,14.0,10040.666666666666,42.73333333333333,B
A06068,SOLVE008,331,341.0,18.13037279967789,0.033,13.0,7650.0,22.0,3.6,3550.0,31.2,B,<100,3,B,12.27822222222222,B,B,336.0,11.0,14.266666666666666,0.026333333333333334,18.086945135703676,12063.333333333334,5.066666666666666,8415.666666666666,35.53333333333333,B
A06150,SOLVE008,341,351.0,18.13037279967789,0.032,10.6,8370.0,15.8,1.6,4617.0,31.4,B,<100,3,B,9.401777777777776,B,B,346.0,10.6,22.53333333333333,0.035333333333333335,18.086945135703676,7013.333333333333,3.2000000000000006,3573.3333333333335,28.0,B
A05674,SOLVE008,351,361.0,18.13037279967789,0.041,8.2,5020.0,29.8,4.4,2553.0,21.4,B,<100,3,B,12.299301587301587,B,B,356.0,11.133333333333333,28.0,0.03233333333333333,18.086945135703676,9766.666666666666,2.5333333333333337,5533.333333333333,33.666666666666664,B
A06576,SOLVE008,361,371.0,18.13037279967789,0.024,14.6,15910.0,38.4,1.6,9430.0,48.2,B,<100,3,B,17.69815873015873,B,B,366.0,13.066666666666665,23.599999999999998,0.027,18.086945135703676,20863.333333333332,3.5333333333333337,16307.666666666666,32.800000000000004,B
A07108,SOLVE008,371,381.0,18.13037279967789,0.016,16.4,41660.0,2.6,4.6,36940.0,28.8,B,<100,3,B,8.296126984126984,B,B,376.0,13.899999999999999,14.533333333333333,0.01533333333333333,18.086945135703676,28016.666666666668,3.4,21933.333333333332,36.13333333333333,B
A08197,SOLVE008,381,391.0,18.13037279967789,0.006,10.7,26480.0,2.6,4.0,19430.0,31.4,B,<100,3,B,5.669777777777777,B,B,386.0,13.1,2.466666666666667,0.014666666666666663,18.086945135703676,24310.0,16.400000000000002,19383.333333333332,40.733333333333334,B
A06696,SOLVE008,391,401.0,18.13037279967789,0.022,12.2,4790.0,2.2,40.6,1780.0,62.0,B,<100,3,B,6.250031746031745,B,B,396.0,25.23333333333333,3.0,0.01433333333333333,18.086945135703676,12140.0,20.866666666666667,7467.333333333333,58.13333333333333,B
A07195,SOLVE008,401,411.0,18.13037279967789,0.015,52.8,5150.0,4.2,18.0,1192.0,81.0,B,<100,3,B,25.50857142857143,B,B,406.0,23.7,2.9333333333333336,0.022666666666666665,18.086945135703676,9500.0,24.53333333333333,2050.6666666666665,74.06666666666666,A
A06172,SOLVE008,411,421.0,18.13037279967789,0.031,6.1,18560.0,2.4,15.0,3180.0,79.2,B,<100,3,B,3.501523809523809,B,B,416.0,21.900000000000002,2.6666666666666665,0.029333333333333333,18.086945135703676,15623.333333333334,12.6,2990.3333333333335,75.06666666666666,B
A05649,SOLVE008,421,431.0,18.13037279967789,0.042,6.8,23160.0,1.4,4.8,4599.0,65.0,B,<100,3,B,3.5408253968253964,B,B,426.0,10.233333333333333,4.533333333333334,0.028666666666666663,18.086945135703676,19336.666666666668,8.533333333333333,3917.6666666666665,62.06666666666666,B
A07350,SOLVE008,431,441.0,18.13037279967789,0.013,17.8,16290.0,9.8,5.8,3974.0,42.0,B,<100,3,B,10.996952380952381,B,B,436.0,13.333333333333334,4.866666666666667,0.021,18.086945135703676,23416.666666666668,5.2,7271.0,54.13333333333333,B
A07880,SOLVE008,441,451.0,18.13037279967789,0.008,15.4,30800.0,3.4,5.0,13240.0,55.4,B,<100,3,B,8.062349206349207,B,B,446.0,20.133333333333333,5.733333333333334,0.009999999999999997,18.086945135703676,23936.666666666668,6.0,9648.0,53.93333333333334,B
A07750,SOLVE008,451,461.0,18.13037279967789,0.009,27.2,24720.0,4.0,7.2,11730.0,64.4,B,<100,3,B,13.665777777777777,B,B,456.0,22.46666666666667,4.2,0.008333333333333331,18.086945135703676,26620.0,6.466666666666666,12130.0,67.53333333333335,B
A07878,SOLVE008,461,471.0,18.13037279967789,0.008,24.8,24340.0,5.2,7.2,11420.0,82.8,A,<100,3,B,12.903619047619047,B,B,466.0,32.6,4.0,0.016666666666666666,18.086945135703676,27673.333333333332,6.733333333333333,9629.333333333334,65.8,B
A06066,SOLVE008,471,481.0,18.13037279967789,0.033,45.8,33960.0,2.8,5.8,5738.0,50.2,A,<100,3,B,21.890920634920633,B,B,476.0,63.0,3.466666666666667,0.02333333333333333,18.086945135703676,34373.333333333336,6.266666666666667,11159.333333333334,60.53333333333333,A
A06277,SOLVE008,481,491.0,18.13037279967789,0.029,118.4,44820.0,2.4,5.8,16320.0,48.6,A,100–250,3,B,55.19466666666667,A,A,486.0,89.39999999999999,2.9333333333333336,0.03133333333333333,18.086945135703676,37346.666666666664,5.8,8052.333333333333,51.93333333333334,A
A06139,SOLVE008,491,501.0,18.13037279967789,0.032,104.0,33260.0,3.6,5.8,2099.0,57.0,A,100–250,3,B,48.90971428571428,B,B,496.0,143.43333333333337,2.866666666666667,0.028999999999999998,18.086945135703676,37760.0,4.999999999999999,6541.333333333333,55.86666666666667,A
A06447,SOLVE008,501,511.0,18.13037279967789,0.026,207.9,35200.0,2.6,3.4,1205.0,62.0,A,100–250,3,A,96.44946031746032,A,A,506.0,134.10000000000002,2.866666666666667,0.030333333333333334,18.086945135703676,33560.0,4.733333333333333,2708.0,55.26666666666667,A
A06062,SOLVE008,511,521.0,18.13037279967789,0.033,90.4,32220.0,2.4,5.0,4820.0,46.8,A,<100,3,B,42.30679365079365,B,B,516.0,113.50000000000001,2.4666666666666672,0.03166666666666667,18.086945135703676,33293.333333333336,4.6,3785.0,51.93333333333334,A
A05918,SOLVE008,521,531.0,18.13037279967789,0.036,42.2,32460.0,2.4,5.4,5330.0,47.0,A,<100,3,B,20.12025396825397,B,B,526.0,50.600000000000016,2.0666666666666673,0.027,18.086945135703676,37020.0,6.666666666666667,14690.0,49.6,A
A07445,SOLVE008,531,541.0,18.13037279967789,0.012,19.2,46380.0,1.4,9.6,33920.0,55.0,A,<100,3,B,9.241142857142856,B,B,536.0,56.66666666666668,1.9333333333333338,0.016833333333333332,18.086945135703676,44853.333333333336,7.3999999999999995,25670.0,52.26666666666666,B
A08494,SOLVE008,541,551.0,18.13037279967789,0.0025,108.6,55720.0,2.0,7.2,37760.0,54.8,A,100–250,3,B,50.56253968253967,B,B,546.0,74.60000000000001,1.6000000000000005,0.0075,18.086945135703676,53706.666666666664,8.133333333333333,28813.333333333332,58.333333333333336,A
A07867,SOLVE008,551,561.0,18.13037279967789,0.008,96.0,59020.0,1.4,7.6,14760.0,65.2,A,<100,3,B,44.59250793650793,B,B,556.0,135.33333333333334,1.8666666666666671,0.0085,18.086945135703676,57946.666666666664,7.133333333333333,26506.666666666668,55.26666666666667,A
A07184,SOLVE008,561,571.0,18.13037279967789,0.015,201.4,59100.0,2.2,6.6,27000.0,45.8,A,100–250,3,A,93.34031746031746,A,A,566.0,157.0666666666667,2.333333333333334,0.011666666666666667,18.086945135703676,58600.0,13.933333333333332,17550.0,47.93333333333334,A
A07438,SOLVE008,571,581.0,18.13037279967789,0.012,173.8,57680.0,3.4,27.6,10890.0,32.8,A,100–250,3,A,80.9776507936508,A,A,576.0,201.20000000000002,9.266666666666667,0.012666666666666666,18.086945135703676,58390.0,14.733333333333334,20836.666666666668,35.13333333333333,A
A07520,SOLVE008,581,591.0,18.13037279967789,0.011,228.4,48938.54116116503,22.2,10.0,24620.0,26.8,A,100–250,3,A,111.48215873015872,A,A,586.0,170.4666666666667,10.133333333333335,0.0085,18.086945135703676,50570.0,15.6,15566.666666666666,36.06666666666667,A
A08474,SOLVE008,591,601.0,18.13037279967789,0.0025,109.2,43460.0,4.8,9.2,11190.0,48.6,A,100–250,3,B,51.63873015873015,B,B,596.0,177.5333333333334,14.666666666666666,0.007833333333333333,18.086945135703676,47880.0,9.866666666666667,23056.666666666668,35.4,A
A07608,SOLVE008,601,611.0,18.13037279967789,0.01,195.0,52300.0,17.0,10.4,33360.0,30.8,A,100–250,3,A,94.62158730158731,A,A,606.0,134.73333333333338,8.133333333333335,0.005,18.086945135703676,45833.333333333336,11.333333333333334,19310.0,37.46666666666667,A
A08464,SOLVE008,611,621.0,18.13037279967789,0.0025,100.0,41740.0,2.6,14.4,13380.0,33.0,A,<100,3,B,46.77523809523809,B,B,616.0,155.73333333333335,7.466666666666668,0.005,18.086945135703676,47440.0,12.533333333333333,21370.0,33.06666666666666,A
A08457,SOLVE008,621,631.0,18.13037279967789,0.0025,172.2,48280.0,2.8,12.8,17370.0,35.4,A,100–250,3,A,80.06730158730157,A,A,626.0,165.26666666666668,5.200000000000001,0.0025,18.086945135703676,48546.666666666664,12.0,18723.333333333332,36.06666666666666,A
A08451,SOLVE008,631,641.0,18.13037279967789,0.0025,223.6,55620.0,10.2,8.8,25420.0,39.8,A,100–250,3,A,105.84190476190474,A,A,636.0,163.26666666666668,6.533333333333334,0.0025,18.086945135703676,53566.666666666664,10.800000000000002,23216.666666666668,38.06666666666666,A
A08444,SOLVE008,641,651.0,18.13037279967789,0.0025,94.0,56800.0,6.6,10.8,26860.0,39.0,A,<100,3,B,45.15619047619047,B,B,646.0,153.66666666666669,7.2,0.0025,18.086945135703676,55573.333333333336,10.933333333333332,23666.666666666668,39.8,A
A08437,SOLVE008,651,661.0,18.13037279967789,0.0025,143.4,54300.0,4.8,13.2,18720.0,40.6,A,100–250,3,B,67.38158730158729,A,A,656.0,140.0666666666667,7.400000000000001,0.0025,18.086945135703676,56193.333333333336,11.466666666666667,21116.666666666668,42.53333333333333,A
A08428,SOLVE008,661,671.0,18.13037279967789,0.0025,182.8,57480.0,10.8,10.4,17770.0,48.0,A,100–250,3,A,87.23238095238095,A,A,666.0,121.60000000000002,6.666666666666668,0.0025,18.086945135703676,55780.0,10.066666666666666,12362.666666666666,39.266666666666666,A
A08416,SOLVE008,671,681.0,18.13037279967789,0.0025,38.6,55560.0,4.4,6.6,598.0,29.2,A,<100,3,B,19.026031746031745,B,B,676.0,143.86666666666667,7.9333333333333345,0.0025,18.086945135703676,59800.0,7.533333333333334,6771.333333333333,39.333333333333336,A
