,Unique_ID,holeid,from,to,As,Au,Pb,Fe,Mo,Cu,S,Zn,Class,x_pos
23,A03979,SOLVE004,721,731.0,,0.106,715.0,59500.0,20.2,150.4,2628.8,416.6,A,1
24,A07072,SOLVE004,731,741.0,,0.016,455.6,63180.0,76.8,3.4,1839.0,35.6,A,1
25,A06655,SOLVE004,741,751.0,,0.022,596.4,66360.0,91.0,3.0,528.8,30.0,A,1
26,A05665,SOLVE004,751,761.0,,0.041,657.2,62920.0,43.0,3.0,443.4,30.6,A,1
27,A07320,SOLVE004,761,771.0,,0.013,283.4,62680.0,15.4,3.0,157.2,23.6,A,1
28,A05021,SOLVE004,771,781.0,,0.06,683.8,61640.0,12.6,3.0,1679.4,35.2,A,1
29,A05138,SOLVE004,781,791.0,,0.056,854.2,48120.0,84.2,3.0,1306.6,47.2,A,1
30,A06607,SOLVE004,791,801.0,,0.023,229.6,49320.0,13.0,3.0,232.6,33.6,A,1
31,A06996,SOLVE004,801,811.0,,0.017,151.4,47620.0,19.8,5.0,389.8,52.6,A,1
32,A06265,SOLVE004,811,821.0,,0.029,400.0,45660.0,9.0,3.0,265.2,30.4,A,1
33,A06733,SOLVE004,821,831.0,,0.021,552.4,46420.0,118.0,3.0,1041.6,35.4,A,1
34,A06787,SOLVE004,831,841.0,,0.02,609.4,45540.0,45.6,64.4,3099.2,137.0,A,1
35,A07817,SOLVE004,841,847.7,,0.008507463,101.5522388,48285.07463,3.805970149,3.0,545.4626866,30.08955224,A,1
36,A03674,SOLVE007,561,571.0,,0.126,2328.6,59860.0,76.2,3.0,2782.0,29.6,A,2
37,A03972,SOLVE007,571,581.0,,0.106,2022.4,65900.0,92.0,40.2,3717.2,119.6,A,2
38,A04584,SOLVE007,581,591.0,,0.076,2630.0,51700.0,36.4,3.0,3037.6,29.6,A,2
39,A04769,SOLVE007,591,601.0,,0.068,1457.8,46280.0,79.8,3.0,1546.0,27.6,A,2
40,A04276,SOLVE007,601,611.0,,0.09,2025.6,,74.2,3.0,1517.0,26.6,A,2
41,A05325,SOLVE007,611,621.0,,0.05,1000.2,61160.0,31.8,3.0,2776.0,36.8,A,2
42,A03530,SOLVE007,621,631.0,,0.138,2868.4,47500.0,48.6,6.4,3654.0,43.2,A,2
43,A03290,SOLVE007,631,641.0,,0.158,2297.2,52240.0,157.0,3.0,3311.4,24.8,A,2
44,A04102,SOLVE007,641,651.0,,0.1,2110.0,58620.0,102.0,3.0,1763.2,27.2,A,2
45,A04445,SOLVE007,651,661.0,,0.082,1037.0,51660.0,20.4,3.0,1672.4,29.8,A,2
46,A04724,SOLVE007,661,671.0,,0.07,1009.8,49340.0,201.6,3.0,1279.4,23.0,A,2
47,A03703,SOLVE007,671,677.0,,0.123333333,1935.666667,52966.66667,199.3333333,3.0,1837.666667,28.0,A,2
48,A05763,SOLVE008,211,221.0,,0.039,9.4,35160.0,53.4,6.8,33620.0,48.4,B,3
49,A04793,SOLVE008,221,231.0,,0.068,17.6,119340.0,136.0,36.2,141740.0,97.8,B,3
50,A04067,SOLVE008,231,241.0,,0.101,20.8,48100.0,14.6,10.8,30240.0,85.8,B,3
51,A07359,SOLVE008,241,251.0,,0.013,14.9,16380.0,7.8,2.2,8950.0,53.8,B,3
52,A07459,SOLVE008,251,261.0,,0.012,4.7,16470.0,3.0,3.2,10480.0,50.8,B,3
53,A06759,SOLVE008,261,271.0,,0.021,6.6,26180.0,2.0,4.8,25330.0,31.6,B,3
54,A06701,SOLVE008,271,281.0,,0.022,23.0,19040.0,3.6,5.2,12760.0,90.8,B,3
55,A05958,SOLVE008,281,291.0,,0.035,15.0,31920.0,7.6,5.6,26290.0,161.6,B,3
56,A06457,SOLVE008,291,301.0,,0.026,13.4,7110.0,13.8,27.2,4190.0,73.8,B,3
57,A05652,SOLVE008,301,311.0,,0.042,9.6,5360.0,3.8,62.4,3460.0,123.8,B,3
58,A06280,SOLVE008,311,321.0,,0.029,24.2,10510.0,13.0,28.4,9492.0,53.0,B,3
59,A07276,SOLVE008,321,331.0,,0.014,9.4,20170.0,5.0,10.0,17080.0,44.0,B,3
60,A06068,SOLVE008,331,341.0,,0.033,13.0,7650.0,22.0,3.6,3550.0,31.2,B,3
61,A06150,SOLVE008,341,351.0,,0.032,10.6,8370.0,15.8,1.6,4617.0,31.4,B,3
62,A05674,SOLVE008,351,361.0,,0.041,8.2,5020.0,29.8,4.4,2553.0,21.4,B,3
63,A06576,SOLVE008,361,371.0,,0.024,14.6,15910.0,38.4,1.6,9430.0,48.2,B,3
64,A07108,SOLVE008,371,381.0,,0.016,16.4,41660.0,2.6,4.6,36940.0,28.8,B,3
65,A08197,SOLVE008,381,391.0,,0.006,10.7,26480.0,2.6,4.0,19430.0,31.4,B,3
66,A06696,SOLVE008,391,401.0,,0.022,12.2,4790.0,2.2,40.6,1780.0,62.0,B,3
67,A07195,SOLVE008,401,411.0,,0.015,52.8,5150.0,4.2,18.0,1192.0,81.0,B,3
68,A06172,SOLVE008,411,421.0,,0.031,6.1,18560.0,2.4,15.0,3180.0,79.2,B,3
69,A05649,SOLVE008,421,431.0,,0.042,6.8,23160.0,1.4,4.8,4599.0,65.0,B,3
70,A07350,SOLVE008,431,441.0,,0.013,17.8,16290.0,9.8,5.8,3974.0,42.0,B,3
71,A07880,SOLVE008,441,451.0,,0.008,15.4,30800.0,3.4,5.0,13240.0,55.4,B,3
72,A07750,SOLVE008,451,461.0,,0.009,27.2,24720.0,4.0,7.2,11730.0,64.4,B,3
73,A07878,SOLVE008,461,471.0,,0.008,24.8,24340.0,5.2,7.2,11420.0,82.8,A,3
74,A06066,SOLVE008,471,481.0,,0.033,45.8,33960.0,2.8,5.8,5738.0,50.2,A,3
75,A06277,SOLVE008,481,491.0,,0.029,118.4,44820.0,2.4,5.8,16320.0,48.6,A,3
76,A06139,SOLVE008,491,501.0,,0.032,104.0,33260.0,3.6,5.8,2099.0,57.0,A,3
77,A06447,SOLVE008,501,511.0,,0.026,207.9,35200.0,2.6,3.4,1205.0,62.0,A,3
78,A06062,SOLVE008,511,521.0,,0.033,90.4,32220.0,2.4,5.0,4820.0,46.8,A,3
79,A05918,SOLVE008,521,531.0,,0.036,42.2,32460.0,2.4,5.4,5330.0,47.0,A,3
80,A07445,SOLVE008,531,541.0,,0.012,19.2,46380.0,1.4,9.6,33920.0,55.0,A,3
81,A08494,SOLVE008,541,551.0,,0.0025,108.6,55720.0,2.0,7.2,37760.0,54.8,A,3
82,A07867,SOLVE008,551,561.0,,0.008,96.0,59020.0,1.4,7.6,14760.0,65.2,A,3
83,A07184,SOLVE008,561,571.0,,0.015,201.4,59100.0,2.2,6.6,27000.0,45.8,A,3
84,A07438,SOLVE008,571,581.0,,0.012,173.8,57680.0,3.4,27.6,10890.0,32.8,A,3
85,A07520,SOLVE008,581,591.0,,0.011,228.4,,22.2,10.0,24620.0,26.8,A,3
86,A08474,SOLVE008,591,601.0,,0.0025,109.2,43460.0,4.8,9.2,11190.0,48.6,A,3
87,A07608,SOLVE008,601,611.0,,0.01,195.0,52300.0,17.0,10.4,33360.0,30.8,A,3
88,A08464,SOLVE008,611,621.0,,0.0025,100.0,41740.0,2.6,14.4,13380.0,33.0,A,3
89,A08457,SOLVE008,621,631.0,,0.0025,172.2,48280.0,2.8,12.8,17370.0,35.4,A,3
90,A08451,SOLVE008,631,641.0,,0.0025,223.6,55620.0,10.2,8.8,25420.0,39.8,A,3
91,A08444,SOLVE008,641,651.0,,0.0025,94.0,56800.0,6.6,10.8,26860.0,39.0,A,3
92,A08437,SOLVE008,651,661.0,,0.0025,143.4,54300.0,4.8,13.2,18720.0,40.6,A,3
93,A08428,SOLVE008,661,671.0,,0.0025,182.8,57480.0,10.8,10.4,17770.0,48.0,A,3
94,A08416,SOLVE008,671,681.0,,0.0025,38.6,55560.0,4.4,6.6,598.0,29.2,A,3
95,A08406,SOLVE008,681,691.0,,0.0025,210.2,66360.0,8.6,5.6,1946.0,40.8,A,3
96,A08397,SOLVE008,691,701.0,,0.0025,429.4,60140.0,22.4,8.0,1780.0,39.6,A,3
97,A08390,SOLVE008,701,711.0,,0.0025,188.4,64740.0,21.0,6.2,2326.0,78.2,A,3
98,A07836,SOLVE008,711,721.0,,0.008,483.2,59540.0,33.4,8.4,2366.0,43.2,A,3
99,A07712,SOLVE008,721,731.0,,0.009,231.8,45280.0,5.8,8.0,10196.0,30.8,A,3
100,A07237,SOLVE008,731,741.0,,0.014,229.0,43960.0,8.8,8.4,19950.0,33.8,A,3
101,A07319,SOLVE008,741,751.0,,0.013,278.0,69860.0,8.2,9.6,32560.0,23.8,A,3
102,A07317,SOLVE008,751,761.0,,0.013,209.8,62340.0,7.0,5.6,13070.0,28.2,A,3
103,A07706,SOLVE008,761,771.0,,0.009,209.0,68160.0,5.6,46.0,17560.0,29.8,A,3
104,A04548,SOLVE008,771,781.0,,0.078,842.0,74640.0,7.2,25.4,29220.0,60.0,A,3
105,A05876,SOLVE008,781,791.0,,0.036,770.0,78940.0,9.6,8.8,18240.0,29.8,A,3
106,A05251,SOLVE008,791,801.0,,0.052,1026.0,48080.0,14.4,188.0,8350.0,27.8,A,3
107,A03613,SOLVE008,801,811.0,,0.132,2554.0,66320.0,27.8,7.6,17540.0,35.2,A,3
108,A05780,SOLVE008,811,821.0,,0.038,670.0,68320.0,9.2,6.8,9570.0,28.6,A,3
109,A04466,SOLVE008,821,831.0,,0.081,1449.0,57800.0,26.4,6.4,2310.0,29.4,A,3
110,A04575,SOLVE008,831,841.0,,0.076,1154.0,50460.0,34.2,9.8,1944.0,47.8,A,3
111,A05006,SOLVE010,521,531.0,,0.06,1894.0,47180.0,31.6,11.6,3940.0,33.2,A,4
112,A04879,SOLVE010,531,541.0,,0.064,1180.0,56720.0,50.8,8.8,16540.0,25.8,A,4
113,A05608,SOLVE010,541,551.0,,0.042,876.0,87940.0,18.8,3.6,4459.0,22.8,A,4
114,A05176,SOLVE010,551,561.0,,0.054,1112.0,86900.0,43.2,4.4,1557.0,24.6,A,4
115,A04852,SOLVE011,791,801.0,,0.065,1223.0,52220.0,14.4,4.4,24480.0,18.2,A,5
116,A04020,SOLVE011,801,811.0,,0.104,1556.0,57460.0,24.8,4.0,40480.0,20.0,A,5
117,A05123,SOLVE011,811,821.0,,0.056,929.2,58400.0,15.4,4.8,46860.0,15.8,A,5
118,A05510,SOLVE011,821,831.0,,0.045,730.8,45780.0,16.6,5.2,29600.0,18.0,A,5
119,A05983,SOLVE011,831,841.0,,0.034,349.0,66260.0,9.4,7.2,33760.0,21.0,A,5
120,A05793,SOLVE011,841,851.0,,0.038,299.0,71820.0,2.2,5.2,24030.0,22.6,A,5
121,A06490,SOLVE011,851,861.0,,0.025,292.0,63540.0,1.4,26.8,21880.0,32.6,A,5
122,A04362,SOLVE015,861,871.0,,0.086,1352.4,45520.0,3.0,3.0,1476.0,24.0,A,6
123,A04273,SOLVE015,871,881.0,,0.09,1602.8,42860.0,3.0,3.0,2063.6,24.8,A,6
124,A02928,SOLVE015,881,891.0,,0.194,1352.6,47060.0,4.0,15.0,7856.6,98.8,A,6
125,A03783,SOLVE015,891,901.0,,0.118,1598.0,46640.0,3.8,3.0,4310.0,36.4,A,6
126,A03884,SOLVE015,901,910.5,,0.111578947,2028.421053,38442.10526,8.0,3.0,3345.157895,22.63157895,A,6
127,A03549,SOLVE016,671,681.0,,0.136,1282.0,56700.0,18.2,50.6,6258.0,131.0,A,7
128,A04164,SOLVE016,681,691.0,,0.096,1268.2,60200.0,3.0,3.0,2986.0,85.2,A,7
129,A05387,SOLVE016,691,701.0,,0.048,789.6,58920.0,9.6,3.0,1890.2,64.6,A,7
130,A04722,SOLVE016,701,711.0,,0.07,1070.8,53960.0,52.6,3.0,600.4,31.2,A,7
131,A04678,SOLVE016,711,721.0,,0.072,2069.8,57460.0,19.8,3.0,1875.4,40.4,A,7
132,A04441,SOLVE016,721,731.0,,0.082,1900.0,45920.0,9.0,3.0,2888.0,30.8,A,7
133,A05014,SOLVE016,731,741.0,,0.06,1229.4,64040.0,18.2,3.0,1699.6,38.2,A,7
134,A04168,SOLVE016,741,751.0,,0.096,1378.2,69420.0,34.0,4.4,12148.0,69.8,A,7
135,A04945,SOLVE016,751,761.0,,0.062,1357.6,56180.0,6.0,3.0,1195.2,28.4,A,7
136,A04595,SOLVE016,761,771.0,,0.076,1546.4,57380.0,9.8,3.0,2062.4,27.6,A,7
137,A05023,SOLVE016,771,781.0,,0.06,1433.6,61580.0,10.2,3.0,5189.4,54.6,A,7
138,A03315,SOLVE016,781,791.0,,0.156,3395.2,57800.0,33.6,3.0,3067.4,32.2,A,7
139,A03359,SOLVE016,791,801.0,,0.152,3978.2,55900.0,8.6,3.4,5356.0,49.4,A,7
140,A06999,SOLVE017,1141,1151.0,,0.017,57.4,42120.0,2.8,7.6,3510.0,27.0,A,8
141,A08124,SOLVE017,1151,1161.0,,0.006,104.2,43820.0,4.2,8.8,4720.0,31.4,A,8
142,A07591,SOLVE017,1161,1171.0,,0.01,218.2,39120.0,3.0,8.8,8504.0,31.0,A,8
143,A07720,SOLVE017,1171,1181.0,,0.009,210.8,48020.0,5.0,10.4,1280.0,43.0,A,8
144,A08133,SOLVE017,1181,1191.0,,0.006,160.6,39360.0,3.6,5.2,476.0,37.4,A,8
145,A07595,SOLVE017,1191,1201.0,,0.01,181.8,39720.0,3.6,10.4,464.0,38.8,A,8
146,A08427,SOLVE017,1201,1211.0,,0.0025,142.8,39140.0,3.0,14.0,410.0,42.2,A,8
147,A08432,SOLVE017,1211,1221.0,,0.0025,112.4,40700.0,2.8,14.8,418.0,51.4,A,8
148,A08138,SOLVE017,1221,1231.0,,0.006,145.0,41820.0,3.6,10.8,332.0,53.6,A,8
149,A07515,SOLVE017,1231,1241.0,,0.011,156.0,,3.6,16.8,306.0,62.6,A,8
150,A07154,SOLVE021,811,821.0,,0.015,86.2,91520.0,12.6,6.0,74980.0,16.8,A,9
151,A07702,SOLVE021,821,831.0,,0.009,522.0,91260.0,3.6,6.8,60420.0,29.2,A,9
152,A06646,SOLVE021,831,841.0,,0.022,180.4,79300.0,2.2,6.4,50700.0,32.6,A,9
153,A06303,SOLVE021,841,851.0,,0.028,264.0,72600.0,2.6,6.4,48060.0,36.6,A,9
154,A07230,SOLVE021,851,861.0,,0.014,150.8,74460.0,5.0,5.2,44940.0,34.2,A,9
155,A07399,SOLVE021,861,871.0,,0.012,169.6,66480.0,2.0,5.2,34540.0,30.8,A,9
156,A06606,SOLVE021,871,881.0,,0.023,128.2,74360.0,2.8,8.0,30840.0,37.4,A,9
157,A06212,SOLVE021,881,891.0,,0.03,250.4,82100.0,4.0,8.8,43920.0,33.4,A,9
158,A04949,SOLVE021,891,901.0,,0.062,456.6,70120.0,3.0,8.4,36260.0,36.4,A,9
159,A06419,SOLVE021,901,911.0,,0.026,176.4,53820.0,4.2,7.2,41520.0,26.6,A,9
160,A05409,SOLVE021,911,921.0,,0.048,115.6,56560.0,5.0,6.0,43820.0,36.8,A,9
161,A05818,SOLVE021,921,931.0,,0.038,113.8,77420.0,4.4,8.0,63940.0,37.2,A,9
162,A06224,SOLVE021,931,941.0,,0.03,68.2,74000.0,5.4,6.0,59460.0,32.8,A,9
163,A06227,SOLVE021,941,951.0,,0.03,323.4,62780.0,3.6,2.8,35720.0,28.6,A,9
164,A05951,SOLVE021,951,961.0,,0.035,215.4,53800.0,3.4,6.8,36980.0,34.0,A,9
165,A06671,SOLVE021,961,971.0,,0.022,149.8,63220.0,3.2,3.2,31290.0,23.0,A,9
166,A06431,SOLVE021,971,981.0,,0.026,201.4,73700.0,3.4,3.2,35620.0,28.6,A,9
167,A07252,SOLVE021,981,991.0,,0.014,113.6,67260.0,3.6,2.4,14590.0,33.2,A,9
168,A03020,SOLVE021,991,1001.0,,0.184,88.0,44240.0,2.6,2.0,8960.0,45.6,A,9
169,A06230,SOLVE021,1001,1011.0,,0.03,125.8,51480.0,3.6,4.0,4330.0,34.0,A,9
170,A06808,SOLVE021,1011,1021.0,,0.02,168.0,53420.0,1.2,5.2,5570.0,35.4,A,9
171,A05640,SOLVE021,1021,1031.0,,0.042,116.8,42160.0,1.0,4.0,4350.0,26.4,A,9
172,A06232,SOLVE021,1031,1041.0,,0.03,141.0,37920.0,2.6,4.8,18000.0,34.4,A,9
173,A06234,SOLVE021,1041,1051.0,,0.03,149.2,47420.0,1.6,3.6,7460.0,32.0,A,9
174,A04964,SOLVE021,1051,1061.0,,0.062,131.8,38500.0,3.8,2.0,8570.0,38.2,A,9
175,A06948,SOLVE021,1061,1071.0,,0.018,105.6,25040.0,2.4,6.8,6480.0,97.6,A,9
176,A06745,SOLVE021,1071,1081.0,,0.021,70.8,21580.0,1.6,12.8,3140.0,81.8,A,9
177,A07611,SOLVE021,1081,1091.0,,0.01,185.0,31920.0,1.4,22.6,7940.0,171.6,A,9
178,A07521,SOLVE021,1091,1101.0,,0.011,127.8,31660.0,1.8,9.6,5760.0,87.4,A,9
179,A06953,SOLVE021,1101,1111.0,,0.018,56.0,29000.0,1.4,9.2,1650.0,34.0,A,9
180,A06330,SOLVE021,1111,1121.0,,0.028,41.6,35040.0,2.4,5.2,2460.0,44.4,A,9
181,A05916,SOLVE021,1121,1131.0,,0.036,69.6,38560.0,2.6,4.4,260.0,28.4,A,9
182,A06817,SOLVE021,1131,1141.0,,0.02,41.4,33680.0,2.0,6.8,1046.0,50.8,A,9
183,A06105,SOLVE025,251,261.0,,0.032,1132.0,45520.0,12.0,3.6,788.0,33.6,A,10
184,A05706,SOLVE025,261,271.0,,0.04,770.0,63280.0,16.2,5.2,818.0,31.0,A,10
185,A05618,SOLVE025,271,281.0,,0.042,824.0,66400.0,29.8,4.0,608.0,31.2,A,10
186,A05128,SOLVE025,281,291.0,,0.056,1548.0,48320.0,75.8,6.8,2076.0,39.8,A,10
187,A05011,SOLVE025,291,301.0,,0.06,2040.0,29080.0,62.4,7.2,4330.0,34.2,A,10
188,A05071,SOLVE025,301,311.0,,0.058,1850.0,42380.0,42.6,8.0,3360.0,49.0,A,10
189,A04495,SOLVE025,311,321.0,,0.08,1780.0,68480.0,43.4,5.6,2830.0,36.2,A,10
190,A04588,SOLVE025,321,331.0,,0.076,1320.0,66300.0,47.4,8.8,1730.0,34.2,A,10
191,A04767,SOLVE025,331,341.0,,0.068,1460.0,68180.0,59.0,3.6,1520.0,33.0,A,10
192,A05781,SOLVE025,341,351.0,,0.038,1165.0,62720.0,46.2,4.4,1113.0,37.6,A,10
193,A04436,SOLVE025,351,361.0,,0.082,1540.0,51640.0,31.6,5.2,2280.0,53.0,A,10
194,A04233,SOLVE025,361,371.0,,0.092,1340.0,53340.0,30.8,3.6,1350.0,58.2,A,10
195,A04016,SOLVE025,371,381.0,,0.104,1700.0,54120.0,44.2,4.0,1740.0,58.6,A,10
196,A02642,SOLVE025,381,391.0,,0.228,2290.0,59940.0,66.0,4.0,2180.0,59.4,A,10
197,A04434,SOLVE025,391,401.0,,0.082,1510.0,68980.0,46.0,5.2,1240.0,58.0,A,10
198,A04814,SOLVE025,911,921.0,,0.066,1150.0,60880.0,27.6,2.0,2330.0,33.2,A,10
199,A03527,SOLVE025,921,931.0,,0.138,2130.0,58420.0,33.2,4.0,3030.0,40.6,A,10
200,A03753,SOLVE025,931,941.0,,0.12,2330.0,62780.0,33.2,5.2,9210.0,53.8,A,10
201,A04235,SOLVE025,941,951.0,,0.092,1650.0,53160.0,15.2,2.0,6010.0,34.6,A,10
202,A05184,SOLVE025,951,961.0,,0.054,878.0,61600.0,11.4,2.0,6498.0,27.4,A,10
203,A05566,SOLVE026,191,201.0,,0.044,62.4,26140.0,1.0,5.2,2510.0,50.0,B,11
204,A04740,SOLVE026,201,211.0,,0.07,157.1,28580.0,1.0,5.4,5930.0,72.0,B,11
205,A05098,SOLVE026,211,221.0,,0.058,10.5,17690.0,1.6,5.4,9760.0,48.0,B,11
206,A06753,SOLVE026,221,231.0,,0.021,23.6,8480.0,1.4,6.0,1888.0,38.6,B,11
207,A05954,SOLVE026,231,241.0,,0.035,11.8,33120.0,3.4,8.8,30800.0,42.8,B,11
208,A05926,SOLVE026,241,251.0,,0.036,12.8,15940.0,10.4,9.6,8840.0,43.8,A,11
209,A05491,SOLVE026,251,261.0,,0.046,18.0,18450.0,2.4,7.6,10540.0,57.4,A,11
210,A08517,SOLVE026,261,271.0,,0.0025,109.2,19140.0,3.2,18.4,12820.0,47.4,A,11
211,A06064,SOLVE026,271,281.0,,0.033,157.2,25360.0,1.4,20.4,9980.0,90.8,A,11
212,A02933,SOLVE026,281,291.0,,0.193,25.8,22240.0,1.6,6.6,6100.0,64.8,A,11
213,A06376,SOLVE026,291,301.0,,0.027,1259.8,19040.0,10.6,6.2,4286.0,68.6,A,11
214,A07444,SOLVE026,301,311.0,,0.012,1070.2,27000.0,23.8,8.4,2480.0,105.4,A,11
215,A07185,SOLVE026,311,321.0,,0.015,1006.0,35480.0,13.4,9.4,810.0,67.8,A,11
216,A07864,SOLVE026,321,331.0,,0.008,726.0,16240.0,32.0,7.2,588.0,36.6,A,11
217,A06167,SOLVE026,331,341.0,,0.031,749.0,21140.0,36.0,7.6,722.0,41.2,A,11
218,A04905,SOLVE026,341,351.0,,0.064,1348.0,18980.0,47.6,397.4,2080.0,800.8,A,11
219,A06373,SOLVE026,351,361.0,,0.027,808.0,31420.0,20.4,16.6,706.0,51.8,A,11
220,A06273,SOLVE026,361,371.0,,0.029,460.6,46120.0,12.8,2.6,155.0,67.6,A,11
221,A05275,SOLVE026,371,381.0,,0.052,1839.0,55080.0,21.8,4.4,1904.0,53.8,A,11
222,A05672,SOLVE026,381,391.0,,0.041,859.0,60820.0,19.6,5.4,594.0,52.8,A,11
223,A06130,SOLVE026,391,401.0,,0.032,126.2,45860.0,4.2,6.2,627.0,70.2,A,11
224,A05906,SOLVE026,401,411.0,,0.036,320.6,51440.0,17.0,6.8,7551.0,100.6,A,11
225,A06432,SOLVE026,411,421.0,,0.026,260.2,42300.0,24.4,135.0,11230.0,263.0,A,11
226,A06324,SOLVE026,421,431.0,,0.028,217.6,49080.0,6.2,185.4,6050.0,466.8,A,11
227,A06551,SOLVE026,431,441.0,,0.024,1143.6,57540.0,13.6,100.4,5014.0,156.6,A,11
228,A07249,SOLVE026,441,451.0,,0.014,209.0,50160.0,3.4,3.6,1099.0,57.8,A,11
229,A06060,SOLVE026,451,461.0,,0.033,10.1,36960.0,4.4,25.2,11680.0,65.8,A,11
230,A06015,SOLVE026,461,471.0,,0.034,38.9,31440.0,11.8,2.6,5820.0,55.4,A,11
231,A05820,SOLVE026,471,481.0,,0.038,456.0,37340.0,17.8,4.2,5460.0,77.0,A,11
232,A04030,SOLVE026,481,491.0,,0.104,922.0,49620.0,8.8,296.6,10610.0,334.2,A,11
233,A07425,SOLVE026,491,501.0,,0.012,115.4,45960.0,10.0,4.4,5410.0,91.8,A,11
234,A07725,SOLVE026,501,511.0,,0.009,190.6,48220.0,6.8,2.2,2280.0,76.0,A,11
235,A07846,SOLVE026,511,521.0,,0.008,354.8,50760.0,18.0,4.0,1800.0,70.8,A,11
236,A06495,SOLVE026,521,531.0,,0.025,467.0,48460.0,25.2,2.6,3270.0,61.8,A,11
237,A08415,SOLVE026,531,541.0,,0.0025,664.0,46660.0,21.2,1.0,2310.0,46.0,A,11
238,A07333,SOLVE026,541,551.0,,0.013,686.0,51980.0,27.8,2.8,3504.0,48.0,A,11
239,A07845,SOLVE026,551,561.0,,0.008,175.8,50680.0,5.2,2.2,5490.0,35.4,A,11
240,A07415,SOLVE026,561,571.0,,0.012,384.0,44860.0,7.2,2.8,846.0,26.6,A,11
241,A06057,SOLVE026,571,581.0,,0.033,1219.0,47720.0,23.8,114.8,12390.0,207.2,A,11
242,A06800,SOLVE026,581,591.0,,0.02,816.0,38700.0,27.4,2.8,10430.0,45.0,A,11
243,A07000,SOLVE026,591,601.0,,0.017,1172.0,47400.0,53.8,3.2,3970.0,55.6,A,11
244,A06798,SOLVE026,601,611.0,,0.02,241.0,48060.0,18.0,6.8,12900.0,60.0,A,11
245,A04597,SOLVE026,611,621.0,,0.076,498.0,53120.0,25.6,23.2,9334.0,38.6,A,11
246,A07716,SOLVE026,621,631.0,,0.009,430.0,51980.0,29.2,4.0,6238.0,49.4,A,11
247,A06791,SOLVE026,631,641.0,,0.02,1080.0,57240.0,64.8,3.4,3080.0,49.6,A,11
248,A06494,SOLVE026,641,651.0,,0.025,1292.0,72340.0,57.6,2.2,1127.0,29.2,A,11
249,A06360,SOLVE026,651,661.0,,0.027,878.0,58480.0,31.0,4.0,1076.0,23.0,A,11
250,A06053,SOLVE026,661,671.0,,0.033,1062.0,58740.0,90.0,2.8,2100.0,28.4,A,11
251,A07708,SOLVE026,671,681.0,,0.009,366.0,41740.0,33.0,2.2,1866.0,24.0,A,11
252,A07069,SOLVE026,681,691.0,,0.016,936.0,46020.0,23.4,2.0,1902.0,24.8,A,11
253,A05703,SOLVE026,691,701.0,,0.04,1372.0,39860.0,36.6,10.0,4630.0,47.0,A,11
254,A03582,SOLVE026,701,711.0,,0.134,2500.0,,,,,,A,11
