Unique_ID,holeid,from,to,As,Au,Pb,Fe,Mo,Cu,S,Zn,Class,Pb_category,x_pos,predicted_pbcutoff,score,predicted_class,predicted_weights,depth_mid,predicted_xgboost
A03979,SOLVE004,721,731.0,18.13037279967789,0.106,715.0,59500.0,20.2,150.4,2628.8,416.6,A,500–1000,1,A,334.92533333333336,A,A,726.0,A
A07072,SOLVE004,731,741.0,18.13037279967789,0.016,455.6,63180.0,76.8,3.4,1839.0,35.6,A,250–500,1,A,231.66755555555554,A,A,736.0,A
A06655,SOLVE004,741,751.0,18.13037279967789,0.022,596.4,66360.0,91.0,3.0,528.8,30.0,A,500–1000,1,A,300.5389206349206,A,A,746.0,A
A05665,SOLVE004,751,761.0,18.13037279967789,0.041,657.2,62920.0,43.0,3.0,443.4,30.6,A,500–1000,1,A,314.8167619047619,A,A,756.0,A
A07320,SOLVE004,761,771.0,18.13037279967789,0.013,283.4,62680.0,15.4,3.0,157.2,23.6,A,250–500,1,A,134.85726984126984,A,A,766.0,A
A05021,SOLVE004,771,781.0,18.13037279967789,0.06,683.8,61640.0,12.6,3.0,1679.4,35.2,A,500–1000,1,A,318.3803174603174,A,A,776.0,A
A05138,SOLVE004,781,791.0,18.13037279967789,0.056,854.2,48120.0,84.2,3.0,1306.6,47.2,A,500–1000,1,A,417.2745396825396,A,A,786.0,A
A06607,SOLVE004,791,801.0,18.13037279967789,0.023,229.6,49320.0,13.0,3.0,232.6,33.6,A,100–250,1,A,109.40901587301586,A,A,796.0,A
A06996,SOLVE004,801,811.0,18.13037279967789,0.017,151.4,47620.0,19.8,5.0,389.8,52.6,A,100–250,1,B,75.35352380952381,A,A,806.0,A
A06265,SOLVE004,811,821.0,18.13037279967789,0.029,400.0,45660.0,9.0,3.0,265.2,30.4,A,250–500,1,A,186.70577777777774,A,A,816.0,A
A06733,SOLVE004,821,831.0,18.13037279967789,0.021,552.4,46420.0,118.0,3.0,1041.6,35.4,A,500–1000,1,A,287.99898412698406,A,A,826.0,A
A06787,SOLVE004,831,841.0,18.13037279967789,0.02,609.4,45540.0,45.6,64.4,3099.2,137.0,A,500–1000,1,A,293.551111111111,A,A,836.0,A
A07817,SOLVE004,841,847.7,18.13037279967789,0.008507463,101.5522388,48285.07463,3.805970149,3.0,545.4626866,30.08955224,A,100–250,1,B,47.83584932206349,B,B,844.35,A
A03674,SOLVE007,561,571.0,18.13037279967789,0.126,2328.6,59860.0,76.2,3.0,2782.0,29.6,A,2000–4000,2,A,1093.6986666666667,A,A,566.0,A
A03972,SOLVE007,571,581.0,18.13037279967789,0.106,2022.4,65900.0,92.0,40.2,3717.2,119.6,A,2000–4000,2,A,957.2586666666666,A,A,576.0,A
A04584,SOLVE007,581,591.0,18.13037279967789,0.076,2630.0,51700.0,36.4,3.0,3037.6,29.6,A,2000–4000,2,A,1221.054222222222,A,A,586.0,A
A04769,SOLVE007,591,601.0,18.13037279967789,0.068,1457.8,46280.0,79.8,3.0,1546.0,27.6,A,1000–2000,2,A,693.8680634920634,A,A,596.0,A
A04276,SOLVE007,601,611.0,18.13037279967789,0.09,2025.6,48938.54116116503,74.2,3.0,1517.0,26.6,A,2000–4000,2,A,953.6419047619047,A,A,606.0,A
A05325,SOLVE007,611,621.0,18.13037279967789,0.05,1000.2,61160.0,31.8,3.0,2776.0,36.8,A,1000–2000,2,A,469.50793650793645,A,A,616.0,A
A03530,SOLVE007,621,631.0,18.13037279967789,0.138,2868.4,47500.0,48.6,6.4,3654.0,43.2,A,2000–4000,2,A,1334.2953650793652,A,A,626.0,A
A03290,SOLVE007,631,641.0,18.13037279967789,0.158,2297.2,52240.0,157.0,3.0,3311.4,24.8,A,2000–4000,2,A,1102.3385396825395,A,A,636.0,A
A04102,SOLVE007,641,651.0,18.13037279967789,0.1,2110.0,58620.0,102.0,3.0,1763.2,27.2,A,2000–4000,2,A,1000.4380952380951,A,A,646.0,A
A04445,SOLVE007,651,661.0,18.13037279967789,0.082,1037.0,51660.0,20.4,3.0,1672.4,29.8,A,1000–2000,2,A,483.1986031746032,A,A,656.0,A
A04724,SOLVE007,661,671.0,18.13037279967789,0.07,1009.8,49340.0,201.6,3.0,1279.4,23.0,A,1000–2000,2,A,522.4463492063492,A,A,666.0,A
A03703,SOLVE007,671,677.0,18.13037279967789,0.123333333,1935.666667,52966.66667,199.3333333,3.0,1837.666667,28.0,A,1000–2000,2,A,948.0048678686982,A,A,674.0,A
A05763,SOLVE008,211,221.0,18.13037279967789,0.039,9.4,35160.0,53.4,6.8,33620.0,48.4,B,<100,3,B,19.594031746031746,B,B,216.0,B
A04793,SOLVE008,221,231.0,18.13037279967789,0.068,17.6,119340.0,136.0,36.2,141740.0,97.8,B,<100,3,B,46.976,B,B,226.0,B
A04067,SOLVE008,231,241.0,18.13037279967789,0.101,20.8,48100.0,14.6,10.8,30240.0,85.8,B,<100,3,B,13.771682539682539,B,B,236.0,B
A07359,SOLVE008,241,251.0,18.13037279967789,0.013,14.9,16380.0,7.8,2.2,8950.0,53.8,B,<100,3,B,9.090603174603174,B,B,246.0,B
A07459,SOLVE008,251,261.0,18.13037279967789,0.012,4.7,16470.0,3.0,3.2,10480.0,50.8,B,<100,3,B,3.0236825396825395,B,B,256.0,B
A06759,SOLVE008,261,271.0,18.13037279967789,0.021,6.6,26180.0,2.0,4.8,25330.0,31.6,B,<100,3,B,3.614857142857142,B,B,266.0,B
A06701,SOLVE008,271,281.0,18.13037279967789,0.022,23.0,19040.0,3.6,5.2,12760.0,90.8,B,<100,3,B,11.621460317460317,B,B,276.0,B
A05958,SOLVE008,281,291.0,18.13037279967789,0.035,15.0,31920.0,7.6,5.6,26290.0,161.6,B,<100,3,B,9.085079365079366,B,B,286.0,B
A06457,SOLVE008,291,301.0,18.13037279967789,0.026,13.4,7110.0,13.8,27.2,4190.0,73.8,B,<100,3,B,10.117714285714284,B,B,296.0,A
A05652,SOLVE008,301,311.0,18.13037279967789,0.042,9.6,5360.0,3.8,62.4,3460.0,123.8,B,<100,3,B,5.515428571428571,B,B,306.0,B
A06280,SOLVE008,311,321.0,18.13037279967789,0.029,24.2,10510.0,13.0,28.4,9492.0,53.0,B,<100,3,B,14.86133333333333,B,B,316.0,A
A07276,SOLVE008,321,331.0,18.13037279967789,0.014,9.4,20170.0,5.0,10.0,17080.0,44.0,B,<100,3,B,5.759111111111111,B,B,326.0,B
A06068,SOLVE008,331,341.0,18.13037279967789,0.033,13.0,7650.0,22.0,3.6,3550.0,31.2,B,<100,3,B,12.27822222222222,B,B,336.0,B
A06150,SOLVE008,341,351.0,18.13037279967789,0.032,10.6,8370.0,15.8,1.6,4617.0,31.4,B,<100,3,B,9.401777777777776,B,B,346.0,B
A05674,SOLVE008,351,361.0,18.13037279967789,0.041,8.2,5020.0,29.8,4.4,2553.0,21.4,B,<100,3,B,12.299301587301587,B,B,356.0,B
A06576,SOLVE008,361,371.0,18.13037279967789,0.024,14.6,15910.0,38.4,1.6,9430.0,48.2,B,<100,3,B,17.69815873015873,B,B,366.0,B
A07108,SOLVE008,371,381.0,18.13037279967789,0.016,16.4,41660.0,2.6,4.6,36940.0,28.8,B,<100,3,B,8.296126984126984,B,B,376.0,B
A08197,SOLVE008,381,391.0,18.13037279967789,0.006,10.7,26480.0,2.6,4.0,19430.0,31.4,B,<100,3,B,5.669777777777777,B,B,386.0,B
A06696,SOLVE008,391,401.0,18.13037279967789,0.022,12.2,4790.0,2.2,40.6,1780.0,62.0,B,<100,3,B,6.250031746031745,B,B,396.0,B
A07195,SOLVE008,401,411.0,18.13037279967789,0.015,52.8,5150.0,4.2,18.0,1192.0,81.0,B,<100,3,B,25.50857142857143,B,B,406.0,A
A06172,SOLVE008,411,421.0,18.13037279967789,0.031,6.1,18560.0,2.4,15.0,3180.0,79.2,B,<100,3,B,3.501523809523809,B,B,416.0,B
A05649,SOLVE008,421,431.0,18.13037279967789,0.042,6.8,23160.0,1.4,4.8,4599.0,65.0,B,<100,3,B,3.5408253968253964,B,B,426.0,B
A07350,SOLVE008,431,441.0,18.13037279967789,0.013,17.8,16290.0,9.8,5.8,3974.0,42.0,B,<100,3,B,10.996952380952381,B,B,436.0,B
A07880,SOLVE008,441,451.0,18.13037279967789,0.008,15.4,30800.0,3.4,5.0,13240.0,55.4,B,<100,3,B,8.062349206349207,B,B,446.0,B
A07750,SOLVE008,451,461.0,18.13037279967789,0.009,27.2,24720.0,4.0,7.2,11730.0,64.4,B,<100,3,B,13.665777777777777,B,B,456.0,B
A07878,SOLVE008,461,471.0,18.13037279967789,0.008,24.8,24340.0,5.2,7.2,11420.0,82.8,A,<100,3,B,12.903619047619047,B,B,466.0,B
A06066,SOLVE008,471,481.0,18.13037279967789,0.033,45.8,33960.0,2.8,5.8,5738.0,50.2,A,<100,3,B,21.890920634920633,B,B,476.0,A
A06277,SOLVE008,481,491.0,18.13037279967789,0.029,118.4,44820.0,2.4,5.8,16320.0,48.6,A,100–250,3,B,55.19466666666667,A,A,486.0,A
A06139,SOLVE008,491,501.0,18.13037279967789,0.032,104.0,33260.0,3.6,5.8,2099.0,57.0,A,100–250,3,B,48.90971428571428,B,B,496.0,A
A06447,SOLVE008,501,511.0,18.13037279967789,0.026,207.9,35200.0,2.6,3.4,1205.0,62.0,A,100–250,3,A,96.44946031746032,A,A,506.0,A
A06062,SOLVE008,511,521.0,18.13037279967789,0.033,90.4,32220.0,2.4,5.0,4820.0,46.8,A,<100,3,B,42.30679365079365,B,B,516.0,A
A05918,SOLVE008,521,531.0,18.13037279967789,0.036,42.2,32460.0,2.4,5.4,5330.0,47.0,A,<100,3,B,20.12025396825397,B,B,526.0,A
A07445,SOLVE008,531,541.0,18.13037279967789,0.012,19.2,46380.0,1.4,9.6,33920.0,55.0,A,<100,3,B,9.241142857142856,B,B,536.0,B
A08494,SOLVE008,541,551.0,18.13037279967789,0.0025,108.6,55720.0,2.0,7.2,37760.0,54.8,A,100–250,3,B,50.56253968253967,B,B,546.0,A
A07867,SOLVE008,551,561.0,18.13037279967789,0.008,96.0,59020.0,1.4,7.6,14760.0,65.2,A,<100,3,B,44.59250793650793,B,B,556.0,A
A07184,SOLVE008,561,571.0,18.13037279967789,0.015,201.4,59100.0,2.2,6.6,27000.0,45.8,A,100–250,3,A,93.34031746031746,A,A,566.0,A
A07438,SOLVE008,571,581.0,18.13037279967789,0.012,173.8,57680.0,3.4,27.6,10890.0,32.8,A,100–250,3,A,80.9776507936508,A,A,576.0,A
A07520,SOLVE008,581,591.0,18.13037279967789,0.011,228.4,48938.54116116503,22.2,10.0,24620.0,26.8,A,100–250,3,A,111.48215873015872,A,A,586.0,A
A08474,SOLVE008,591,601.0,18.13037279967789,0.0025,109.2,43460.0,4.8,9.2,11190.0,48.6,A,100–250,3,B,51.63873015873015,B,B,596.0,A
A07608,SOLVE008,601,611.0,18.13037279967789,0.01,195.0,52300.0,17.0,10.4,33360.0,30.8,A,100–250,3,A,94.62158730158731,A,A,606.0,A
A08464,SOLVE008,611,621.0,18.13037279967789,0.0025,100.0,41740.0,2.6,14.4,13380.0,33.0,A,<100,3,B,46.77523809523809,B,B,616.0,A
A08457,SOLVE008,621,631.0,18.13037279967789,0.0025,172.2,48280.0,2.8,12.8,17370.0,35.4,A,100–250,3,A,80.06730158730157,A,A,626.0,A
A08451,SOLVE008,631,641.0,18.13037279967789,0.0025,223.6,55620.0,10.2,8.8,25420.0,39.8,A,100–250,3,A,105.84190476190474,A,A,636.0,A
A08444,SOLVE008,641,651.0,18.13037279967789,0.0025,94.0,56800.0,6.6,10.8,26860.0,39.0,A,<100,3,B,45.15619047619047,B,B,646.0,A
A08437,SOLVE008,651,661.0,18.13037279967789,0.0025,143.4,54300.0,4.8,13.2,18720.0,40.6,A,100–250,3,B,67.38158730158729,A,A,656.0,A
A08428,SOLVE008,661,671.0,18.13037279967789,0.0025,182.8,57480.0,10.8,10.4,17770.0,48.0,A,100–250,3,A,87.23238095238095,A,A,666.0,A
A08416,SOLVE008,671,681.0,18.13037279967789,0.0025,38.6,55560.0,4.4,6.6,598.0,29.2,A,<100,3,B,19.026031746031745,B,B,676.0,A
A08406,SOLVE008,681,691.0,18.13037279967789,0.0025,210.2,66360.0,8.6,5.6,1946.0,40.8,A,100–250,3,A,99.21650793650792,A,A,686.0,A
A08397,SOLVE008,691,701.0,18.13037279967789,0.0025,429.4,60140.0,22.4,8.0,1780.0,39.6,A,250–500,3,A,204.0609523809524,A,A,696.0,A
A08390,SOLVE008,701,711.0,18.13037279967789,0.0025,188.4,64740.0,21.0,6.2,2326.0,78.2,A,100–250,3,A,92.72444444444444,A,A,706.0,A
A07836,SOLVE008,711,721.0,18.13037279967789,0.008,483.2,59540.0,33.4,8.4,2366.0,43.2,A,250–500,3,A,231.9702857142857,A,A,716.0,A
A07712,SOLVE008,721,731.0,18.13037279967789,0.009,231.8,45280.0,5.8,8.0,10196.0,30.8,A,100–250,3,A,108.36101587301586,A,A,726.0,A
A07237,SOLVE008,731,741.0,18.13037279967789,0.014,229.0,43960.0,8.8,8.4,19950.0,33.8,A,100–250,3,A,107.93053968253969,A,A,736.0,A
A07319,SOLVE008,741,751.0,18.13037279967789,0.013,278.0,69860.0,8.2,9.6,32560.0,23.8,A,250–500,3,A,130.3144126984127,A,A,746.0,A
A07317,SOLVE008,751,761.0,18.13037279967789,0.013,209.8,62340.0,7.0,5.6,13070.0,28.2,A,100–250,3,A,98.57790476190476,A,A,756.0,A
A07706,SOLVE008,761,771.0,18.13037279967789,0.009,209.0,68160.0,5.6,46.0,17560.0,29.8,A,100–250,3,A,97.80863492063492,A,A,766.0,A
A04548,SOLVE008,771,781.0,18.13037279967789,0.078,842.0,74640.0,7.2,25.4,29220.0,60.0,A,500–1000,3,A,389.66425396825395,A,A,776.0,A
A05876,SOLVE008,781,791.0,18.13037279967789,0.036,770.0,78940.0,9.6,8.8,18240.0,29.8,A,500–1000,3,A,357.19644444444447,A,A,786.0,A
A05251,SOLVE008,791,801.0,18.13037279967789,0.052,1026.0,48080.0,14.4,188.0,8350.0,27.8,A,1000–2000,3,A,476.4132063492063,A,A,796.0,A
A03613,SOLVE008,801,811.0,18.13037279967789,0.132,2554.0,66320.0,27.8,7.6,17540.0,35.2,A,2000–4000,3,A,1183.6271746031746,A,A,806.0,A
A05780,SOLVE008,811,821.0,18.13037279967789,0.038,670.0,68320.0,9.2,6.8,9570.0,28.6,A,500–1000,3,A,311.0509206349206,A,A,816.0,A
A04466,SOLVE008,821,831.0,18.13037279967789,0.081,1449.0,57800.0,26.4,6.4,2310.0,29.4,A,1000–2000,3,A,674.5634285714286,A,A,826.0,A
A04575,SOLVE008,831,841.0,18.13037279967789,0.076,1154.0,50460.0,34.2,9.8,1944.0,47.8,A,1000–2000,3,A,540.9970793650793,A,A,836.0,A
A05006,SOLVE010,521,531.0,18.13037279967789,0.06,1894.0,47180.0,31.6,11.6,3940.0,33.2,A,1000–2000,4,A,880.8850793650793,A,A,526.0,A
A04879,SOLVE010,531,541.0,18.13037279967789,0.064,1180.0,56720.0,50.8,8.8,16540.0,25.8,A,1000–2000,4,A,557.7051428571428,A,A,536.0,A
A05608,SOLVE010,541,551.0,18.13037279967789,0.042,876.0,87940.0,18.8,3.6,4459.0,22.8,A,500–1000,4,A,408.6201904761904,A,A,546.0,A
A05176,SOLVE010,551,561.0,18.13037279967789,0.054,1112.0,86900.0,43.2,4.4,1557.0,24.6,A,1000–2000,4,A,524.2295873015872,A,A,556.0,A
A04852,SOLVE011,791,801.0,18.13037279967789,0.065,1223.0,52220.0,14.4,4.4,24480.0,18.2,A,1000–2000,5,A,567.0990476190475,A,A,796.0,A
A04020,SOLVE011,801,811.0,18.13037279967789,0.104,1556.0,57460.0,24.8,4.0,40480.0,20.0,A,1000–2000,5,A,723.3660952380951,A,A,806.0,A
A05123,SOLVE011,811,821.0,18.13037279967789,0.056,929.2,58400.0,15.4,4.8,46860.0,15.8,A,500–1000,5,A,432.14120634920636,A,A,816.0,A
A05510,SOLVE011,821,831.0,18.13037279967789,0.045,730.8,45780.0,16.6,5.2,29600.0,18.0,A,500–1000,5,A,341.15428571428566,A,A,826.0,A
A05983,SOLVE011,831,841.0,18.13037279967789,0.034,349.0,66260.0,9.4,7.2,33760.0,21.0,A,250–500,5,A,163.34514285714283,A,A,836.0,A
A05793,SOLVE011,841,851.0,18.13037279967789,0.038,299.0,71820.0,2.2,5.2,24030.0,22.6,A,250–500,5,A,138.27314285714283,A,A,846.0,A
A06490,SOLVE011,851,861.0,18.13037279967789,0.025,292.0,63540.0,1.4,26.8,21880.0,32.6,A,250–500,5,A,134.8190476190476,A,A,856.0,A
A04362,SOLVE015,861,871.0,18.13037279967789,0.086,1352.4,45520.0,3.0,3.0,1476.0,24.0,A,1000–2000,6,A,623.4123174603175,A,A,866.0,A
A04273,SOLVE015,871,881.0,18.13037279967789,0.09,1602.8,42860.0,3.0,3.0,2063.6,24.8,A,1000–2000,6,A,738.6768253968254,A,A,876.0,A
A02928,SOLVE015,881,891.0,18.13037279967789,0.194,1352.6,47060.0,4.0,15.0,7856.6,98.8,A,1000–2000,6,A,623.8175238095238,A,A,886.0,A
A03783,SOLVE015,891,901.0,18.13037279967789,0.118,1598.0,46640.0,3.8,3.0,4310.0,36.4,A,1000–2000,6,A,736.7029841269841,A,A,896.0,A
A03884,SOLVE015,901,910.5,18.13037279967789,0.111578947,2028.421053,38442.10526,8.0,3.0,3345.157895,22.63157895,A,2000–4000,6,A,936.0316793674921,A,A,905.75,A
A03549,SOLVE016,671,681.0,18.13037279967789,0.136,1282.0,56700.0,18.2,50.6,6258.0,131.0,A,1000–2000,7,A,595.3615238095238,A,A,676.0,A
A04164,SOLVE016,681,691.0,18.13037279967789,0.096,1268.2,60200.0,3.0,3.0,2986.0,85.2,A,1000–2000,7,A,584.6561269841269,A,A,686.0,A
A05387,SOLVE016,691,701.0,18.13037279967789,0.048,789.6,58920.0,9.6,3.0,1890.2,64.6,A,500–1000,7,A,366.22171428571426,A,A,696.0,A
A04722,SOLVE016,701,711.0,18.13037279967789,0.07,1070.8,53960.0,52.6,3.0,600.4,31.2,A,1000–2000,7,A,507.9542857142857,A,A,706.0,A
A04678,SOLVE016,711,721.0,18.13037279967789,0.072,2069.8,57460.0,19.8,3.0,1875.4,40.4,A,2000–4000,7,A,958.4405079365079,A,A,716.0,A
A04441,SOLVE016,721,731.0,18.13037279967789,0.082,1900.0,45920.0,9.0,3.0,2888.0,30.8,A,1000–2000,7,A,877.1954285714285,A,A,726.0,A
A05014,SOLVE016,731,741.0,18.13037279967789,0.06,1229.4,64040.0,18.2,3.0,1699.6,38.2,A,1000–2000,7,A,571.1295238095238,A,A,736.0,A
A04168,SOLVE016,741,751.0,18.13037279967789,0.096,1378.2,69420.0,34.0,4.4,12148.0,69.8,A,1000–2000,7,A,644.1481904761905,A,A,746.0,A
A04945,SOLVE016,751,761.0,18.13037279967789,0.062,1357.6,56180.0,6.0,3.0,1195.2,28.4,A,1000–2000,7,A,626.6570158730158,A,A,756.0,A
A04595,SOLVE016,761,771.0,18.13037279967789,0.076,1546.4,57380.0,9.8,3.0,2062.4,27.6,A,1000–2000,7,A,714.6542222222223,A,A,766.0,A
A05023,SOLVE016,771,781.0,18.13037279967789,0.06,1433.6,61580.0,10.2,3.0,5189.4,54.6,A,1000–2000,7,A,662.8406349206349,A,A,776.0,A
A03315,SOLVE016,781,791.0,18.13037279967789,0.156,3395.2,57800.0,33.6,3.0,3067.4,32.2,A,2000–4000,7,A,1572.50946031746,A,A,786.0,A
A03359,SOLVE016,791,801.0,18.13037279967789,0.152,3978.2,55900.0,8.6,3.4,5356.0,49.4,A,2000–4000,7,A,1833.7306666666664,A,A,796.0,A
A06999,SOLVE017,1141,1151.0,18.13037279967789,0.017,57.4,42120.0,2.8,7.6,3510.0,27.0,A,<100,8,B,27.22653968253968,B,B,1146.0,A
A08124,SOLVE017,1151,1161.0,18.13037279967789,0.006,104.2,43820.0,4.2,8.8,4720.0,31.4,A,100–250,8,B,49.166603174603175,B,B,1156.0,A
A07591,SOLVE017,1161,1171.0,18.13037279967789,0.01,218.2,39120.0,3.0,8.8,8504.0,31.0,A,100–250,8,A,101.30095238095237,A,A,1166.0,A
A07720,SOLVE017,1171,1181.0,18.13037279967789,0.009,210.8,48020.0,5.0,10.4,1280.0,43.0,A,100–250,8,A,98.46577777777777,A,A,1176.0,A
A08133,SOLVE017,1181,1191.0,18.13037279967789,0.006,160.6,39360.0,3.6,5.2,476.0,37.4,A,100–250,8,A,74.95707936507937,A,A,1186.0,A
A07595,SOLVE017,1191,1201.0,18.13037279967789,0.01,181.8,39720.0,3.6,10.4,464.0,38.8,A,100–250,8,A,84.71682539682541,A,A,1196.0,A
A08427,SOLVE017,1201,1211.0,18.13037279967789,0.0025,142.8,39140.0,3.0,14.0,410.0,42.2,A,100–250,8,B,66.5911111111111,A,A,1206.0,A
A08432,SOLVE017,1211,1221.0,18.13037279967789,0.0025,112.4,40700.0,2.8,14.8,418.0,51.4,A,100–250,8,B,52.540317460317446,B,B,1216.0,A
A08138,SOLVE017,1221,1231.0,18.13037279967789,0.006,145.0,41820.0,3.6,10.8,332.0,53.6,A,100–250,8,B,67.77612698412699,A,A,1226.0,A
A07515,SOLVE017,1231,1241.0,18.13037279967789,0.011,156.0,48938.54116116503,3.6,16.8,306.0,62.6,A,100–250,8,B,72.84088888888888,A,A,1236.0,A
A07154,SOLVE021,811,821.0,18.13037279967789,0.015,86.2,91520.0,12.6,6.0,74980.0,16.8,A,<100,9,B,43.2831746031746,B,B,816.0,A
A07702,SOLVE021,821,831.0,18.13037279967789,0.009,522.0,91260.0,3.6,6.8,60420.0,29.2,A,500–1000,9,A,241.31657142857142,A,A,826.0,A
A06646,SOLVE021,831,841.0,18.13037279967789,0.022,180.4,79300.0,2.2,6.4,50700.0,32.6,A,100–250,9,A,83.67542857142857,A,A,836.0,A
A06303,SOLVE021,841,851.0,18.13037279967789,0.028,264.0,72600.0,2.6,6.4,48060.0,36.6,A,250–500,9,A,122.27377777777777,A,A,846.0,A
A07230,SOLVE021,851,861.0,18.13037279967789,0.014,150.8,74460.0,5.0,5.2,44940.0,34.2,A,100–250,9,B,70.848,A,A,856.0,A
A07399,SOLVE021,861,871.0,18.13037279967789,0.012,169.6,66480.0,2.0,5.2,34540.0,30.8,A,100–250,9,A,78.64431746031745,A,A,866.0,A
A06606,SOLVE021,871,881.0,18.13037279967789,0.023,128.2,74360.0,2.8,8.0,30840.0,37.4,A,100–250,9,B,59.81853968253968,A,A,876.0,A
A06212,SOLVE021,881,891.0,18.13037279967789,0.03,250.4,82100.0,4.0,8.8,43920.0,33.4,A,250–500,9,A,116.41396825396825,A,A,886.0,A
A04949,SOLVE021,891,901.0,18.13037279967789,0.062,456.6,70120.0,3.0,8.4,36260.0,36.4,A,250–500,9,A,211.05384126984123,A,A,896.0,A
A06419,SOLVE021,901,911.0,18.13037279967789,0.026,176.4,53820.0,4.2,7.2,41520.0,26.6,A,100–250,9,A,82.40660317460318,A,A,906.0,A
A05409,SOLVE021,911,921.0,18.13037279967789,0.048,115.6,56560.0,5.0,6.0,43820.0,36.8,A,100–250,9,B,54.65346031746031,A,A,916.0,A
A05818,SOLVE021,921,931.0,18.13037279967789,0.038,113.8,77420.0,4.4,8.0,63940.0,37.2,A,100–250,9,B,53.650920634920624,A,A,926.0,A
A06224,SOLVE021,931,941.0,18.13037279967789,0.03,68.2,74000.0,5.4,6.0,59460.0,32.8,A,<100,9,B,32.94412698412698,B,B,936.0,A
